row_id,call_id,agent_id,call_start_time,call_end_time,duration,department_id,company_id,call_status,call_outcome
1,CALL_000001,AGT_027,2024-11-05 14:48:20.633158,2024-11-05 15:10:20.633158,22.0,4,1,transferred,follow_up
2,CALL_000002,AGT_020,2024-10-19 13:52:20.633158,2024-10-19 14:10:20.633158,18.0,1,6,completed,follow_up
3,CALL_000003,AGT_003,2024-10-08 12:27:20.633158,2024-10-08 12:39:20.633158,12.0,1,7,transferred,follow_up
4,CALL_000004,AGT_033,2024-10-22 12:30:20.633158,2024-10-22 13:13:20.633158,43.0,2,5,transferred,follow_up
5,CALL_000005,AGT_039,2024-10-20 03:36:20.633158,2024-10-20 04:31:20.633158,55.0,3,9,completed,resolved
6,CALL_000006,AGT_018,2024-11-05 10:03:20.633158,2024-11-05 10:22:20.633158,19.0,2,4,completed,follow_up
7,CALL_000007,AGT_019,2024-10-07 14:32:20.633158,2024-10-07 15:32:20.633158,60.0,1,9,transferred,escalated
8,CALL_000008,AGT_025,2024-10-31 12:42:20.633158,2024-10-31 13:39:20.633158,57.0,4,7,abandoned,escalated
9,CALL_000009,AGT_044,2024-10-27 10:05:20.633158,2024-10-27 10:17:20.633158,12.0,4,7,transferred,follow_up
10,CALL_000010,AGT_028,2024-10-07 21:23:20.633158,2024-10-07 22:13:20.633158,50.0,3,10,transferred,follow_up
11,CALL_000011,AGT_040,2024-10-26 09:33:20.633158,2024-10-26 09:48:20.633158,15.0,3,2,transferred,escalated
12,CALL_000012,AGT_023,2024-10-20 12:31:20.633158,2024-10-20 12:35:20.633158,4.0,4,9,transferred,escalated
13,CALL_000013,AGT_028,2024-11-02 14:27:20.633158,2024-11-02 15:13:20.633158,46.0,4,8,completed,resolved
14,CALL_000014,AGT_013,2024-11-02 19:22:20.633158,2024-11-02 19:43:20.633158,21.0,1,7,transferred,escalated
15,CALL_000015,AGT_028,2024-10-10 04:17:20.633158,2024-10-10 04:32:20.633158,15.0,4,5,abandoned,escalated
16,CALL_000016,AGT_017,2024-11-01 07:56:20.633158,2024-11-01 08:45:20.633158,49.0,5,2,completed,follow_up
17,CALL_000017,AGT_017,2024-10-25 23:16:20.633158,2024-10-25 23:52:20.633158,36.0,1,5,abandoned,escalated
18,CALL_000018,AGT_010,2024-10-20 19:16:20.633158,2024-10-20 20:02:20.633158,46.0,4,9,abandoned,resolved
