row_id,call_id,agent_id,call_start_time,call_end_time,duration,department_id,company_id,call_status,call_outcome
1,CALL_000001,AGT_027,1730846900000,1730848220000,22.0,4,1,transferred,follow_up
2,CALL_000002,AGT_020,1729371140000,1729372220000,18.0,1,6,completed,follow_up
3,CALL_000003,AGT_003,1728415640000,1728416360000,12.0,1,7,transferred,follow_up
4,CALL_000004,AGT_033,1729625420000,1729628000000,43.0,2,5,transferred,follow_up
5,CALL_000005,AGT_039,1729420580000,1729423880000,55.0,3,9,completed,resolved
6,CALL_000006,AGT_018,1730829800000,1730830940000,19.0,2,4,completed,follow_up
7,CALL_000007,AGT_019,1728336740000,1728340340000,60.0,1,9,transferred,escalated
8,CALL_000008,AGT_025,1730403740000,1730407160000,57.0,4,7,abandoned,escalated
9,CALL_000009,AGT_044,1730048720000,1730049440000,12.0,4,7,transferred,follow_up
10,CALL_000010,AGT_028,1728361400000,1728364400000,50.0,3,10,transferred,follow_up
11,CALL_000011,AGT_040,1729960400000,1729961300000,15.0,3,2,transferred,escalated
12,CALL_000012,AGT_023,1729452680000,1729452920000,4.0,4,9,transferred,escalated
13,CALL_000013,AGT_028,1730582840000,1730585600000,46.0,4,8,completed,resolved
14,CALL_000014,AGT_013,1730600540000,1730601800000,21.0,1,7,transferred,escalated
15,CALL_000015,AGT_028,1728559040000,1728559940000,15.0,4,5,abandoned,escalated
16,CALL_000016,AGT_017,1730472980000,1730475920000,49.0,5,2,completed,follow_up
17,CALL_000017,AGT_017,1729923380000,1729925540000,36.0,1,5,abandoned,escalated
18,CALL_000018,AGT_010,1729476980000,1729479740000,46.0,4,9,abandoned,resolved
19,CALL_000019,AGT_007,1728398840000,1728399380000,9.0,4,2,abandoned,escalated
20,CALL_000020,AGT_004,1730831360000,1730831600000,4.0,2,1,abandoned,follow_up
21,CALL_000021,AGT_029,1729456160000,1729459460000,55.0,2,5,completed,follow_up
22,CALL_000022,AGT_026,1729347560000,1729348340000,13.0,2,7,completed,escalated
23,CALL_000023,AGT_028,1728874460000,1728875480000,17.0,2,9,abandoned,follow_up
24,CALL_000024,AGT_038,1730068460000,1730069480000,17.0,2,2,abandoned,resolved
25,CALL_000025,AGT_004,1728396440000,1728398900000,41.0,3,8,completed,resolved
26,CALL_000026,AGT_011,1729520420000,1729520900000,8.0,4,2,completed,escalated
27,CALL_000027,AGT_049,1729240100000,1729240880000,13.0,5,10,completed,escalated
28,CALL_000028,AGT_050,1728392720000,1728394880000,36.0,1,1,transferred,escalated
29,CALL_000029,AGT_039,1728581600000,1728585080000,58.0,2,7,transferred,follow_up
30,CALL_000030,AGT_036,1729172000000,1729173500000,25.0,3,2,transferred,resolved
31,CALL_000031,AGT_001,1729935380000,1729936280000,15.0,1,6,abandoned,resolved
32,CALL_000032,AGT_021,1729485560000,1729485920000,6.0,5,3,transferred,follow_up
33,CALL_000033,AGT_033,1729725560000,1729728200000,44.0,1,4,abandoned,resolved
34,CALL_000034,AGT_010,1730428880000,1730430620000,29.0,1,8,abandoned,escalated
35,CALL_000035,AGT_017,1730783780000,1730785280000,25.0,1,5,transferred,escalated
36,CALL_000036,AGT_019,1728351620000,1728352880000,21.0,2,2,abandoned,escalated
37,CALL_000037,AGT_004,1728773480000,1728774560000,18.0,3,3,transferred,resolved
38,CALL_000038,AGT_022,1728484520000,1728486800000,38.0,4,4,transferred,escalated
39,CALL_000039,AGT_011,1728191120000,1728192920000,30.0,3,2,completed,follow_up
40,CALL_000040,AGT_013,1730618000000,1730618360000,6.0,4,6,transferred,follow_up
41,CALL_000041,AGT_041,1728698000000,1728700400000,40.0,2,3,completed,resolved
42,CALL_000042,AGT_007,1729402640000,1729403360000,12.0,5,2,transferred,follow_up
43,CALL_000043,AGT_029,1729826180000,1729827740000,26.0,4,2,transferred,follow_up
44,CALL_000044,AGT_032,1730085800000,1730087840000,34.0,2,1,completed,resolved
45,CALL_000045,AGT_015,1728333740000,1728336560000,47.0,4,1,completed,escalated
46,CALL_000046,AGT_024,1729692140000,1729694540000,40.0,1,7,transferred,escalated
47,CALL_000047,AGT_039,1728657320000,1728657620000,5.0,4,7,abandoned,escalated
48,CALL_000048,AGT_018,1729816220000,1729818140000,32.0,5,9,completed,resolved
49,CALL_000049,AGT_036,1729129580000,1729130120000,9.0,4,3,abandoned,follow_up
50,CALL_000050,AGT_016,1729077620000,1729080440000,47.0,2,8,abandoned,escalated
